,sm_2,sm_3,sm_4,sm_6,sm_7,sm_8,sm_9,sm_11,sm_12,sm_13,sm_14,sm_15,sm_17,sm_20
offical_score,420330170851.20807,419464727797.00586,419703214590.11597,417947350304.20905,414709904550.8732,420195022500.7118,420209925178.3593,417646132124.408,420759628199.4693,420629317711.4775,418931422969.2696,417720235597.8181,418407575817.2602,418453864728.9514
rmse,222.47624338102796,222.4501729914012,222.45734529583135,222.404305388875,222.30597524637807,222.47217470787265,222.47262011689068,222.3952091244153,222.48916725098556,222.48525582714777,222.43406835020158,222.39745906681839,222.4182582396257,222.41964929029595
mse,49495.67886893438,49484.07946390431,49487.27047606874,49463.67505550797,49419.94663024326,49493.86851925021,49494.066701674354,49459.62904149241,49501.429544037026,49499.68906047139,49476.91476282215,49460.62979937716,49469.881598348824,49470.500390418245
mae,216.5001975417137,216.47340744435786,216.4807777673006,216.42627317905425,216.32522575259208,216.49601655900477,216.496474263072,216.41692565083503,216.5134781271219,216.50945874750613,216.456858125329,216.41923774480819,216.44061140418052,216.44204087257384
r2,-17.86740414036581,-17.862982528873832,-17.864198920233623,-17.855204512120526,-17.83853554442992,-17.866714047818196,-17.86678959356229,-17.853662200077665,-17.869596257207544,-17.86893279713218,-17.86025139528902,-17.854043681934055,-17.857570402532957,-17.857806281711092
Acc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
