,ts_code,symbol,name,area,industry,list_date
1416,603816.SH,603816,顾家家居,浙江,家居用品,20161014
1417,603817.SH,603817,海峡环保,福建,环境保护,20170220
1418,603818.SH,603818,曲美家居,北京,家居用品,20150422
1419,603819.SH,603819,神力股份,江苏,电气设备,20161125
1420,603822.SH,603822,嘉澳环保,浙江,环境保护,20160428
1421,603823.SH,603823,百合花,浙江,染料涂料,20161220
1422,603825.SH,603825,华扬联众,北京,互联网,20170802
1423,603826.SH,603826,坤彩科技,福建,染料涂料,20170414
1424,603828.SH,603828,柯利达,江苏,装修装饰,20150226
1425,603829.SH,603829,洛凯股份,江苏,电气设备,20171017
1426,603833.SH,603833,欧派家居,广东,家居用品,20170328
1427,603838.SH,603838,四通股份,广东,陶瓷,20150701
1428,603839.SH,603839,安正时尚,浙江,服饰,20170214
1429,603843.SH,603843,正平股份,青海,建筑工程,20160905
1430,603848.SH,603848,好太太,广东,家居用品,20171201
1431,603855.SH,603855,华荣股份,上海,专用机械,20170524
1432,603856.SH,603856,东宏股份,山东,塑料,20171106
1433,603858.SH,603858,步长制药,山东,中成药,20161118
1434,603859.SH,603859,能科股份,北京,软件服务,20161021
1435,603860.SH,603860,中公高科,北京,公路,20170802
1436,603861.SH,603861,白云电器,广东,电气设备,20160322
1437,603863.SH,603863,松炀资源,广东,造纸,20190621
1438,603866.SH,603866,桃李面包,辽宁,食品,20151222
1439,603867.SH,603867,新化股份,浙江,化工原料,20190627
1440,603868.SH,603868,飞科电器,上海,家用电器,20160418
1441,603869.SH,603869,新智认知,广西,软件服务,20150326
1442,603871.SH,603871,嘉友国际,北京,仓储物流,20180206
1443,603876.SH,603876,鼎胜新材,江苏,铝,20180418
1444,603877.SH,603877,太平鸟,浙江,服饰,20170109
1445,603878.SH,603878,武进不锈,江苏,钢加工,20161219
1446,603879.SH,603879,永悦科技,福建,化工原料,20170614
1447,603880.SH,603880,南卫股份,江苏,医疗保健,20170807
1448,603881.SH,603881,数据港,上海,电信运营,20170208
1449,603882.SH,603882,金域医学,广东,医疗保健,20170908
1450,603883.SH,603883,老百姓,湖南,医药商业,20150423
1451,603885.SH,603885,吉祥航空,上海,空运,20150527
1452,603886.SH,603886,元祖股份,上海,食品,20161228
1453,603887.SH,603887,城地香江,上海,软件服务,20161010
1454,603888.SH,603888,新华网,北京,互联网,20161028
1455,603889.SH,603889,新澳股份,浙江,纺织,20141231
1456,603890.SH,603890,春秋电子,江苏,机械基件,20171212
1457,603893.SH,603893,瑞芯微,福建,半导体,20200207
1458,603895.SH,603895,天永智能,上海,专用机械,20180122
1459,603896.SH,603896,寿仙谷,浙江,中成药,20170510
1460,603897.SH,603897,长城科技,浙江,电气设备,20180410
1461,603898.SH,603898,好莱客,广东,家居用品,20150217
1462,603899.SH,603899,晨光文具,上海,文教休闲,20150127
1463,603900.SH,603900,莱绅通灵,江苏,服饰,20161123
1464,603901.SH,603901,永创智能,浙江,专用机械,20150529
1465,603903.SH,603903,中持股份,北京,环境保护,20170314
1466,603906.SH,603906,龙蟠科技,江苏,化工原料,20170410
1467,603908.SH,603908,牧高笛,浙江,纺织,20170307
1468,603909.SH,603909,合诚股份,福建,建筑工程,20160628
1469,603912.SH,603912,佳力图,江苏,专用机械,20171101
1470,603915.SH,603915,国茂股份,江苏,机械基件,20190614
1471,603916.SH,603916,苏博特,江苏,化工原料,20171110
1472,603917.SH,603917,合力科技,浙江,汽车配件,20171204
1473,603918.SH,603918,金桥信息,上海,软件服务,20150528
1474,603919.SH,603919,金徽酒,甘肃,白酒,20160310
1475,603920.SH,603920,世运电路,广东,元器件,20170426
1476,603922.SH,603922,金鸿顺,江苏,汽车配件,20171023
1477,603926.SH,603926,铁流股份,浙江,汽车配件,20170510
1478,603927.SH,603927,中科软,北京,软件服务,20190909
1479,603928.SH,603928,兴业股份,江苏,化工原料,20161212
1480,603929.SH,603929,亚翔集成,江苏,装修装饰,20161230
1481,603931.SH,603931,格林达,浙江,化工原料,20200819
1482,603933.SH,603933,睿能科技,福建,纺织机械,20170706
1483,603936.SH,603936,博敏电子,广东,元器件,20151209
1484,603937.SH,603937,丽岛新材,江苏,铝,20171102
1485,603938.SH,603938,三孚股份,河北,化工原料,20170628
1486,603939.SH,603939,益丰药房,湖南,医药商业,20150217
1487,603948.SH,603948,建业股份,浙江,化工原料,20200302
1488,603949.SH,603949,雪龙集团,浙江,汽车配件,20200310
1489,603950.SH,603950,长源东谷,湖北,汽车配件,20200526
1490,603955.SH,603955,大千生态,江苏,环境保护,20170310
1491,603956.SH,603956,威派格,上海,专用机械,20190222
1492,603958.SH,603958,哈森股份,江苏,服饰,20160629
1493,603959.SH,603959,百利科技,湖南,建筑工程,20160517
1494,603960.SH,603960,克来机电,上海,专用机械,20170314
1495,603963.SH,603963,大理药业,云南,化学制药,20170922
1496,603966.SH,603966,法兰泰克,江苏,机械基件,20170125
1497,603967.SH,603967,中创物流,山东,仓储物流,20190429
1498,603968.SH,603968,醋化股份,江苏,化工原料,20150518
1499,603969.SH,603969,银龙股份,天津,其他建材,20150227
1500,603970.SH,603970,中农立华,北京,其他商业,20171116
1501,603976.SH,603976,正川股份,重庆,医疗保健,20170822
1502,603977.SH,603977,国泰集团,江西,化工原料,20161111
1503,603978.SH,603978,深圳新星,深圳,铝,20170807
1504,603979.SH,603979,金诚信,北京,建筑工程,20150630
1505,603980.SH,603980,吉华集团,浙江,染料涂料,20170615
1506,603982.SH,603982,泉峰汽车,江苏,汽车配件,20190522
1507,603983.SH,603983,丸美股份,广东,日用化工,20190725
1508,603985.SH,603985,恒润股份,江苏,机械基件,20170505
1509,603986.SH,603986,兆易创新,北京,半导体,20160818
1510,603987.SH,603987,康德莱,上海,医疗保健,20161121
1511,603988.SH,603988,中电电机,江苏,电气设备,20141104
1512,603989.SH,603989,艾华集团,湖南,元器件,20150515
1513,603990.SH,603990,麦迪科技,江苏,软件服务,20161208
1514,603991.SH,603991,至正股份,上海,塑料,20170308
1515,603992.SH,603992,松霖科技,福建,家居用品,20190826
1516,603993.SH,603993,洛阳钼业,河南,小金属,20121009
1517,603995.SH,603995,甬金股份,浙江,特种钢,20191224
1518,603996.SH,603996,*ST中新,浙江,家用电器,20151222
1519,603997.SH,603997,继峰股份,浙江,汽车配件,20150302
1520,603998.SH,603998,方盛制药,湖南,中成药,20141205
1521,603999.SH,603999,读者传媒,甘肃,出版业,20151210
1522,605001.SH,605001,威奥股份,山东,运输设备,20200522
1523,605003.SH,605003,众望布艺,浙江,纺织,20200908
1524,605005.SH,605005,合兴股份,浙江,汽车配件,20210119
1525,605006.SH,605006,山东玻纤,山东,玻璃,20200903
1526,605007.SH,605007,五洲特纸,浙江,造纸,20201110
1527,605008.SH,605008,长鸿高科,浙江,塑料,20200821
1528,605009.SH,605009,豪悦护理,浙江,造纸,20200911
1529,605018.SH,605018,长华股份,浙江,汽车配件,20200929
1530,605050.SH,605050,福然德,上海,仓储物流,20200924
1531,605055.SH,605055,迎丰股份,浙江,纺织,20210129
1532,605058.SH,605058,澳弘电子,江苏,元器件,20201021
1533,605066.SH,605066,天正电气,浙江,电气设备,20200807
1534,605068.SH,605068,明新旭腾,浙江,汽车配件,20201123
