,sm_2,sm_3,sm_4,sm_6,sm_7,sm_8,sm_9,sm_11,sm_12,sm_13,sm_14,sm_15,sm_17,sm_20
offical_score,67356.00320652388,67337.44695046479,67252.12616300618,67230.85107930333,67250.39255897564,67252.85341430183,67357.78874298447,67257.94604885924,67264.73683422776,67256.73366035151,67244.5126724515,67244.06400087215,67287.20098065493,67237.17853632943
rmse,52.79055086873328,52.78963441084958,52.785413875521236,52.78436235609611,52.78532900354585,52.785450777065336,52.79063957175728,52.785701718578686,52.786037567412365,52.78564267178913,52.78503750349306,52.78501536530755,52.78714869700939,52.784675931851716
mse,2786.842261024316,2786.745501231154,2786.29991801007,2786.188909339656,2786.2909580125784,2786.3038137379876,2786.8516263951856,2786.330305922761,2786.3657620682693,2786.324072273805,2786.2601842451686,2786.2578471157544,2786.48306756018,2786.222013230606
mae,39.04488932291667,39.044384765625,39.042059326171874,39.0414794921875,39.042012532552086,39.04207967122396,39.04493815104167,39.04221801757812,39.04240315755208,39.04218546549479,39.04185180664062,39.041839599609375,39.043015543619795,39.04165242513021
r2,-0.06232463955956313,-0.062287755407979484,-0.06211790222276292,-0.06207558649953926,-0.062114486734832663,-0.06211938724680377,-0.062328209572969584,-0.062129485881029956,-0.062143001513946805,-0.062127109657957424,-0.06210275599146442,-0.062101865094194464,-0.06218771754117092,-0.06208820546958771
Acc,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335
