,sm_2,sm_3
offical_score,413935117828.2893,413935117828.2893
rmse,222.2822877601543,222.2822877601543
mse,49409.41545188804,49409.41545188804
mae,216.30088330507277,216.30088330507277
r2,-17.83452113342187,-17.83452113342187
